Attributes,open,open,open,open,open,open,open,open,open,open,open,open,open,open,open,open,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,volume,volume,volume,volume,volume,volume,volume,volume,volume,volume,volume,volume,volume,volume,volume,volume
Symbols,AAPL,AMZN,FB,GCVRZ,GOOGL,GSK,LLY,MRK,MSFT,NFLX,NVS,ORCL,PFE,PYPL,TSLA,TWTR,AAPL,AMZN,FB,GCVRZ,GOOGL,GSK,LLY,MRK,MSFT,NFLX,NVS,ORCL,PFE,PYPL,TSLA,TWTR,AAPL,AMZN,FB,GCVRZ,GOOGL,GSK,LLY,MRK,MSFT,NFLX,NVS,ORCL,PFE,PYPL,TSLA,TWTR,AAPL,AMZN,FB,GCVRZ,GOOGL,GSK,LLY,MRK,MSFT,NFLX,NVS,ORCL,PFE,PYPL,TSLA,TWTR,AAPL,AMZN,FB,GCVRZ,GOOGL,GSK,LLY,MRK,MSFT,NFLX,NVS,ORCL,PFE,PYPL,TSLA,TWTR
date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-01-02,153.6368,1465.2,128.99,0.49,1027.2,36.7547,113.5342,74.7825,98.761,259.28,81.7829,44.1071,42.3709,82.38,306.1,28.26,157.5648,1553.36,137.51,0.49,1060.79,37.0855,114.1672,75.4778,100.9436,269.7499,82.4185,44.9599,42.7443,86.2,315.13,28.987,152.9822,1460.93,128.56,0.46,1025.28,36.5892,111.5165,74.0972,98.1559,256.58,81.0659,44.0773,41.8943,82.24,298.8,27.87,156.6423,1539.13,135.68,0.46,1054.68,36.8617,113.6232,75.0805,100.3186,267.66,81.4535,44.8409,42.4986,85.75,310.12,28.81,37039737,7983103,28146193,23463,1593395,2381745,4247101,14427639,35329345,11679528,1570420,14320441,25076212,10146197,11658648,15053718
2019-01-03,142.8151,1520.01,134.69,0.4848,1050.67,37.0855,113.465,75.0507,99.3067,270.2,82.374,44.3748,42.4888,84.36,307.0,28.38,144.541,1538.0,137.17,0.48804,1066.26,37.2607,113.4848,75.458,99.391,275.79,82.8632,45.1185,42.5871,84.75,309.4,29.18,140.8511,1497.11,131.12,0.4601,1022.37,36.8131,109.8846,73.3523,96.4297,264.43,81.7696,44.0376,41.2212,81.91,297.38,27.94,141.0396,1500.28,131.74,0.47,1025.47,36.8131,110.0923,73.541,96.6281,271.2,82.1124,44.4045,41.3096,82.09,300.36,27.99,91312195,6975572,22717948,11504,2097957,2756653,4203286,13273470,42578410,14969647,3302060,19868713,27043208,9650676,6965184,19051650
2019-01-04,143.3607,1530.0,134.01,0.4602,1042.56,37.0855,110.9824,74.2363,98.9297,281.88,82.4031,44.9896,41.7027,83.71,306.0,28.39,147.348,1594.0,138.0,0.465,1080.0,37.6675,113.5837,75.9844,101.6976,297.8,83.6531,46.5564,42.592,86.91,318.0,30.1,142.6366,1518.31,133.75,0.4517,1036.86,37.0855,110.5176,74.1369,98.1459,278.54,82.4031,44.8706,41.5209,83.37,302.73,28.31,147.0605,1575.39,137.95,0.46,1078.07,37.5818,113.4056,75.7559,101.1222,297.57,83.2267,46.3184,42.253,86.27,317.69,29.95,58607070,9182575,29002059,41930,2301428,2960413,5795155,14077352,44060620,19330102,1759319,20983953,25754634,9234825,7394116,23412594
2019-01-07,147.4969,1602.31,137.56,0.47,1080.97,37.5526,111.1407,75.6367,100.8345,302.1,81.6376,46.5365,42.3218,86.42,321.72,30.2,147.6259,1634.56,138.87,0.4855,1082.7,37.9419,115.1662,75.9546,102.4497,316.8,82.5484,47.7017,42.8622,87.55,336.74,31.38,144.7196,1589.18,135.91,0.4625,1062.64,37.3385,110.8242,74.9017,100.1797,301.65,81.6182,46.0804,42.1154,86.02,317.7508,29.768,146.7332,1629.51,138.05,0.4718,1075.92,37.7667,114.0188,74.9216,101.2511,315.34,82.248,47.0522,42.479,86.93,334.96,31.34,54777764,7993213,20089337,54677,2372667,3403416,7749593,15071652,35656136,18620116,1808616,17967907,19919838,11094140,7551225,19917785
2019-01-08,148.35,1664.69,139.89,0.472,1086.0,37.3191,114.4244,75.3586,102.2234,319.98,83.4593,47.5281,42.8032,88.11,341.96,31.7,150.5917,1676.61,143.14,0.4855,1093.35,38.0343,115.1464,75.6963,103.146,320.593,84.0601,47.9545,42.9408,88.895,344.01,32.05,147.3184,1616.61,139.54,0.472,1068.35,37.3191,113.2672,74.7776,100.9073,308.01,83.3333,46.8043,42.4004,87.69,327.02,30.91,149.5303,1656.58,142.53,0.473,1085.37,38.01,115.0672,75.4778,101.9853,320.27,84.031,47.4786,42.6755,88.7,335.35,31.8,41025314,8881428,26263793,3457,1770654,3114614,3428938,11351852,31514415,15359180,2433171,16255688,18669087,8307637,7008516,18915169
2019-01-09,150.066,1652.98,142.95,0.4623,1087.99,38.3506,115.0969,75.3785,103.0369,317.71,84.2829,46.249,42.705,88.81,335.5,31.8,153.2798,1667.8,144.7,0.4899,1091.64,38.37,116.9267,75.7957,104.0488,323.3508,84.4954,47.8256,42.9113,90.315,343.5025,32.4,148.4194,1641.4,141.27,0.46,1074.37,38.0685,114.9486,74.8123,102.4263,313.5,84.0601,46.2192,42.4495,88.5,331.47,31.54,152.0696,1659.42,144.23,0.4724,1081.65,38.1462,115.9277,74.9017,103.4436,319.96,84.2635,47.3794,42.5871,89.55,338.53,32.25,45099081,6348801,22205879,4456,1349912,2241781,5820142,11370592,32280840,13343152,1026909,19100183,19077393,9578323,5432945,14554404
2019-01-10,151.2662,1641.01,143.08,0.47,1074.94,37.9419,115.809,75.1699,102.4019,314.57,85.281,46.9827,42.4691,89.1,334.4,33.08,152.7243,1663.25,144.56,0.47,1079.81,38.37,115.9376,75.1699,102.9277,325.37,85.4651,47.5777,42.479,90.79,345.39,33.5,149.6395,1621.62,140.84,0.46,1064.68,37.8494,113.7122,72.9748,101.5686,312.5,84.9806,46.4869,41.2998,87.918,331.79,32.26,152.5557,1656.22,144.2,0.47,1078.83,38.3019,114.6716,73.978,102.7789,324.66,85.3779,47.4191,41.575,90.7,344.97,33.09,35780670,6507693,16125004,62794,1329861,2972567,4282265,18257842,30067556,13472475,1853131,16652730,37695611,7478123,6056354,30504455
2019-01-11,151.6431,1640.55,143.15,0.462,1069.9,38.117,114.009,74.1965,102.3722,330.96,85.3004,47.2703,41.5946,90.11,342.09,32.85,152.4565,1660.29,145.36,0.47,1073.37,38.5063,114.9387,74.4349,102.6202,341.09,85.6298,48.2121,42.1351,91.1442,348.41,33.2,150.2842,1636.22,142.57,0.44,1056.43,38.0489,113.8408,73.6502,100.8345,328.52,84.8159,46.9728,41.4177,90.1,338.77,32.43,151.0579,1640.56,143.8,0.47,1064.47,38.3214,114.909,74.3952,101.9853,337.59,85.0484,47.8851,42.1351,90.65,347.26,32.87,27023241,4686222,12908031,41417,1543238,3552718,2648795,9425598,28314202,19500429,2363764,16397521,19985293,7398181,5039052,17732289
2019-01-14,149.6295,1615.0,142.0,0.45,1053.34,37.6889,113.9397,73.7893,101.0924,334.24,84.5155,47.4488,41.8108,89.96,342.38,32.38,150.0461,1648.2,146.57,0.455,1058.45,37.7278,113.9892,73.9383,102.0563,335.48,84.6705,47.9347,41.8894,90.81,342.5,32.75,148.0127,1595.15,141.27,0.425,1048.55,37.3483,113.0792,72.6073,100.4575,329.13,83.9341,47.2207,41.4374,89.55,334.0,32.12,148.7864,1617.21,145.39,0.43,1051.51,37.5721,113.4254,72.8755,101.2412,332.94,84.1279,47.776,41.6339,90.43,334.4,32.37,32439186,6005888,20520278,53892,1424486,5207085,4404603,14951833,28437079,10499582,1989859,14869411,16703162,6084735,5247284,9523030
2019-01-15,149.0542,1632.0,146.01,0.45,1058.01,37.4845,112.6638,72.6073,101.6976,349.6,85.1163,47.2584,41.8599,90.64,335.0,32.51,152.149,1675.16,150.68,0.475,1088.27,38.0441,116.9267,74.3852,104.2174,357.22,85.6298,48.3087,42.4888,91.91,348.8,33.35,148.836,1626.01,145.99,0.425,1054.44,37.4553,112.1594,72.6073,101.0726,347.0,84.8643,47.1986,41.6929,90.19,334.5,32.45,151.8316,1674.56,148.95,0.475,1086.51,38.0003,115.809,73.9979,104.1778,354.64,85.1453,48.1643,41.9877,91.6,344.43,33.02,28710324,5998510,24068822,102964,1875852,3528697,5097713,12502012,31587616,21181234,1472155,12142144,24540172,10377929,6056590,13548207
